"bf_prior_id","design_case_id","family","tier","bf_type","prior_form","analysis_prior","tags","rationale"
"z-bf01-point-null0-pm0p2-psd0-on-z-dpoint-0-usd1-short","z-dpoint-0-usd1-short","z","short","normal","point","null=0;pm=0.2;psd=0","z;bf01;point-prior","local point alternative"
"z-bf01-point-null0-pm0p5-psd0-on-z-dpoint-0-usd1-short","z-dpoint-0-usd1-short","z","short","normal","point","null=0;pm=0.5;psd=0","z;bf01;point-prior","moderate point alternative"
"z-bf01-normal-null0-pm0-psd0p70710678-on-z-dpoint-0-usd1-short","z-dpoint-0-usd1-short","z","short","normal","normal","null=0;pm=0;psd=0.707106781186547","z;bf01;normal-prior","centered default-scale normal alternative"
"z-bf01-normal-null0-pm0p2-psd0p3-on-z-dpoint-0-usd1-short","z-dpoint-0-usd1-short","z","short","normal","normal","null=0;pm=0.2;psd=0.3","z;bf01;normal-prior","uncertain local normal alternative"
"z-dirbf01-directional-normal-null0-pm0-psd0p70710678-on-z-dpoint-0-usd1-short","z-dpoint-0-usd1-short","z","short","directional","directional-normal","null=0;pm=0;psd=0.707106781186547","z;dirbf01;directional-normal-prior","directional normal alternative"
"z-nmbf01-moment-null0-psd0p35355339-on-z-dpoint-0-usd1-short","z-dpoint-0-usd1-short","z","short","moment","moment","null=0;psd=0.353553390593274","z;nmbf01;moment-prior","narrower moment alternative"
"z-nmbf01-moment-null0-psd0p70710678-on-z-dpoint-0-usd1-short","z-dpoint-0-usd1-short","z","short","moment","moment","null=0;psd=0.707106781186547","z;nmbf01;moment-prior","broader moment alternative"
"z-bf01-point-null0-pm0p2-psd0-on-z-dpoint-0p2-usd1-short","z-dpoint-0p2-usd1-short","z","short","normal","point","null=0;pm=0.2;psd=0","z;bf01;point-prior","local point alternative"
"z-bf01-point-null0-pm0p5-psd0-on-z-dpoint-0p2-usd1-short","z-dpoint-0p2-usd1-short","z","short","normal","point","null=0;pm=0.5;psd=0","z;bf01;point-prior","moderate point alternative"
"z-bf01-normal-null0-pm0-psd0p70710678-on-z-dpoint-0p2-usd1-short","z-dpoint-0p2-usd1-short","z","short","normal","normal","null=0;pm=0;psd=0.707106781186547","z;bf01;normal-prior","centered default-scale normal alternative"
"z-bf01-normal-null0-pm0p2-psd0p3-on-z-dpoint-0p2-usd1-short","z-dpoint-0p2-usd1-short","z","short","normal","normal","null=0;pm=0.2;psd=0.3","z;bf01;normal-prior","uncertain local normal alternative"
"z-dirbf01-directional-normal-null0-pm0-psd0p70710678-on-z-dpoint-0p2-usd1-short","z-dpoint-0p2-usd1-short","z","short","directional","directional-normal","null=0;pm=0;psd=0.707106781186547","z;dirbf01;directional-normal-prior","directional normal alternative"
