"phase","tier","family","design_case_id","bf_prior_id","chunk_id","replicate_start","replicate_end","seed"
"materialize_bf_prior","short","z","z-dpoint-0-usd1-short","z-bf01-point-null0-pm0p2-psd0-on-z-dpoint-0-usd1-short",1,1,1000,21261004
"materialize_bf_prior","short","z","z-dpoint-0-usd1-short","z-bf01-point-null0-pm0p2-psd0-on-z-dpoint-0-usd1-short",2,1001,2000,22261007
"materialize_bf_prior","short","z","z-dpoint-0-usd1-short","z-bf01-point-null0-pm0p2-psd0-on-z-dpoint-0-usd1-short",3,2001,3000,23261010
"materialize_bf_prior","short","z","z-dpoint-0-usd1-short","z-bf01-point-null0-pm0p2-psd0-on-z-dpoint-0-usd1-short",4,3001,4000,24261013
"materialize_bf_prior","short","z","z-dpoint-0-usd1-short","z-bf01-point-null0-pm0p2-psd0-on-z-dpoint-0-usd1-short",5,4001,5000,25261016
"materialize_bf_prior","short","z","z-dpoint-0-usd1-short","z-bf01-point-null0-pm0p2-psd0-on-z-dpoint-0-usd1-short",6,5001,6000,26261019
"materialize_bf_prior","short","z","z-dpoint-0-usd1-short","z-bf01-point-null0-pm0p2-psd0-on-z-dpoint-0-usd1-short",7,6001,7000,27261022
"materialize_bf_prior","short","z","z-dpoint-0-usd1-short","z-bf01-point-null0-pm0p2-psd0-on-z-dpoint-0-usd1-short",8,7001,8000,28261025
"materialize_bf_prior","short","z","z-dpoint-0-usd1-short","z-bf01-point-null0-pm0p2-psd0-on-z-dpoint-0-usd1-short",9,8001,9000,29261028
"materialize_bf_prior","short","z","z-dpoint-0-usd1-short","z-bf01-point-null0-pm0p2-psd0-on-z-dpoint-0-usd1-short",10,9001,10000,30261031
"materialize_bf_prior","short","z","z-dpoint-0-usd1-short","z-bf01-point-null0-pm0p5-psd0-on-z-dpoint-0-usd1-short",1,1,1000,21261004
"materialize_bf_prior","short","z","z-dpoint-0-usd1-short","z-bf01-point-null0-pm0p5-psd0-on-z-dpoint-0-usd1-short",2,1001,2000,22261007
"materialize_bf_prior","short","z","z-dpoint-0-usd1-short","z-bf01-point-null0-pm0p5-psd0-on-z-dpoint-0-usd1-short",3,2001,3000,23261010
"materialize_bf_prior","short","z","z-dpoint-0-usd1-short","z-bf01-point-null0-pm0p5-psd0-on-z-dpoint-0-usd1-short",4,3001,4000,24261013
"materialize_bf_prior","short","z","z-dpoint-0-usd1-short","z-bf01-point-null0-pm0p5-psd0-on-z-dpoint-0-usd1-short",5,4001,5000,25261016
"materialize_bf_prior","short","z","z-dpoint-0-usd1-short","z-bf01-point-null0-pm0p5-psd0-on-z-dpoint-0-usd1-short",6,5001,6000,26261019
"materialize_bf_prior","short","z","z-dpoint-0-usd1-short","z-bf01-point-null0-pm0p5-psd0-on-z-dpoint-0-usd1-short",7,6001,7000,27261022
"materialize_bf_prior","short","z","z-dpoint-0-usd1-short","z-bf01-point-null0-pm0p5-psd0-on-z-dpoint-0-usd1-short",8,7001,8000,28261025
"materialize_bf_prior","short","z","z-dpoint-0-usd1-short","z-bf01-point-null0-pm0p5-psd0-on-z-dpoint-0-usd1-short",9,8001,9000,29261028
"materialize_bf_prior","short","z","z-dpoint-0-usd1-short","z-bf01-point-null0-pm0p5-psd0-on-z-dpoint-0-usd1-short",10,9001,10000,30261031
"materialize_bf_prior","short","z","z-dpoint-0-usd1-short","z-bf01-normal-null0-pm0-psd0p70710678-on-z-dpoint-0-usd1-short",1,1,1000,21261004
"materialize_bf_prior","short","z","z-dpoint-0-usd1-short","z-bf01-normal-null0-pm0-psd0p70710678-on-z-dpoint-0-usd1-short",2,1001,2000,22261007
"materialize_bf_prior","short","z","z-dpoint-0-usd1-short","z-bf01-normal-null0-pm0-psd0p70710678-on-z-dpoint-0-usd1-short",3,2001,3000,23261010
"materialize_bf_prior","short","z","z-dpoint-0-usd1-short","z-bf01-normal-null0-pm0-psd0p70710678-on-z-dpoint-0-usd1-short",4,3001,4000,24261013
"materialize_bf_prior","short","z","z-dpoint-0-usd1-short","z-bf01-normal-null0-pm0-psd0p70710678-on-z-dpoint-0-usd1-short",5,4001,5000,25261016
"materialize_bf_prior","short","z","z-dpoint-0-usd1-short","z-bf01-normal-null0-pm0-psd0p70710678-on-z-dpoint-0-usd1-short",6,5001,6000,26261019
"materialize_bf_prior","short","z","z-dpoint-0-usd1-short","z-bf01-normal-null0-pm0-psd0p70710678-on-z-dpoint-0-usd1-short",7,6001,7000,27261022
"materialize_bf_prior","short","z","z-dpoint-0-usd1-short","z-bf01-normal-null0-pm0-psd0p70710678-on-z-dpoint-0-usd1-short",8,7001,8000,28261025
"materialize_bf_prior","short","z","z-dpoint-0-usd1-short","z-bf01-normal-null0-pm0-psd0p70710678-on-z-dpoint-0-usd1-short",9,8001,9000,29261028
"materialize_bf_prior","short","z","z-dpoint-0-usd1-short","z-bf01-normal-null0-pm0-psd0p70710678-on-z-dpoint-0-usd1-short",10,9001,10000,30261031
"materialize_bf_prior","short","z","z-dpoint-0-usd1-short","z-bf01-normal-null0-pm0p2-psd0p3-on-z-dpoint-0-usd1-short",1,1,1000,21261004
"materialize_bf_prior","short","z","z-dpoint-0-usd1-short","z-bf01-normal-null0-pm0p2-psd0p3-on-z-dpoint-0-usd1-short",2,1001,2000,22261007
"materialize_bf_prior","short","z","z-dpoint-0-usd1-short","z-bf01-normal-null0-pm0p2-psd0p3-on-z-dpoint-0-usd1-short",3,2001,3000,23261010
"materialize_bf_prior","short","z","z-dpoint-0-usd1-short","z-bf01-normal-null0-pm0p2-psd0p3-on-z-dpoint-0-usd1-short",4,3001,4000,24261013
"materialize_bf_prior","short","z","z-dpoint-0-usd1-short","z-bf01-normal-null0-pm0p2-psd0p3-on-z-dpoint-0-usd1-short",5,4001,5000,25261016
"materialize_bf_prior","short","z","z-dpoint-0-usd1-short","z-bf01-normal-null0-pm0p2-psd0p3-on-z-dpoint-0-usd1-short",6,5001,6000,26261019
"materialize_bf_prior","short","z","z-dpoint-0-usd1-short","z-bf01-normal-null0-pm0p2-psd0p3-on-z-dpoint-0-usd1-short",7,6001,7000,27261022
"materialize_bf_prior","short","z","z-dpoint-0-usd1-short","z-bf01-normal-null0-pm0p2-psd0p3-on-z-dpoint-0-usd1-short",8,7001,8000,28261025
"materialize_bf_prior","short","z","z-dpoint-0-usd1-short","z-bf01-normal-null0-pm0p2-psd0p3-on-z-dpoint-0-usd1-short",9,8001,9000,29261028
"materialize_bf_prior","short","z","z-dpoint-0-usd1-short","z-bf01-normal-null0-pm0p2-psd0p3-on-z-dpoint-0-usd1-short",10,9001,10000,30261031
"materialize_bf_prior","short","z","z-dpoint-0-usd1-short","z-dirbf01-directional-normal-null0-pm0-psd0p70710678-on-z-dpoint-0-usd1-short",1,1,1000,21261004
"materialize_bf_prior","short","z","z-dpoint-0-usd1-short","z-dirbf01-directional-normal-null0-pm0-psd0p70710678-on-z-dpoint-0-usd1-short",2,1001,2000,22261007
"materialize_bf_prior","short","z","z-dpoint-0-usd1-short","z-dirbf01-directional-normal-null0-pm0-psd0p70710678-on-z-dpoint-0-usd1-short",3,2001,3000,23261010
"materialize_bf_prior","short","z","z-dpoint-0-usd1-short","z-dirbf01-directional-normal-null0-pm0-psd0p70710678-on-z-dpoint-0-usd1-short",4,3001,4000,24261013
