"design_case_id","family","tier","look_grid","nsim","chunk_size","n_chunks","estimated_rows","seed","design_prior_family","dpm","dpsd","dp","da","db","dl","du","generation","tags","rationale"
"z-dpoint-0-usd1-short","z","short","short",10000,1000,10,500000,20261001,"point",0,0,NA,NA,NA,NA,NA,"usd=1;type=generic","z;point-design;matched-usd1;null","Point-null z design for the usd = 1 sampling model."
"z-dpoint-0p2-usd1-short","z","short","short",10000,1000,10,500000,20261002,"point",0.2,0,NA,NA,NA,NA,NA,"usd=1;type=generic","z;point-design;matched-usd1;local-effect","Local positive-effect z design for the usd = 1 sampling model."
"z-dpoint-0p5-usd1-short","z","short","short",10000,1000,10,500000,20261003,"point",0.5,0,NA,NA,NA,NA,NA,"usd=1;type=generic","z;point-design;matched-usd1;moderate-effect","Moderate positive-effect z design for the usd = 1 sampling model."
"z-dnorm-0p5-s0p1-usd1-short","z","short","short",10000,1000,10,500000,20261004,"normal",0.5,0.1,NA,NA,NA,NA,NA,"usd=1;type=generic","z;normal-design;matched-usd1;uncertain-design;moderate-effect","Aligned uncertain positive-effect z design with small design-prior spread."
"z-dnorm-0p2-s0p3-usd1-short","z","short","short",10000,1000,10,500000,20261005,"normal",0.2,0.3,NA,NA,NA,NA,NA,"usd=1;type=generic","z;normal-design;matched-usd1;uncertain-design;local-effect","Local uncertain z design with design-prior spread larger than its mean."
"z-dnorm-0p2-s0p5-usd1-short","z","short","short",10000,1000,10,500000,20261006,"normal",0.2,0.5,NA,NA,NA,NA,NA,"usd=1;type=generic","z;normal-design;matched-usd1;uncertain-design;diffuse-design","Diffuse local z design for checking behavior as design uncertainty increases."
"z-dnorm-0-s0p5-usd1-short","z","adversarial","short",10000,1000,10,500000,20261007,"normal",0,0.5,NA,NA,NA,NA,NA,"usd=1;type=generic","z;normal-design;matched-usd1;mixed-signs;uncertain-design","Mixed-sign z design prior centered on the null."
"z-dpoint-m0p3-usd1-short","z","adversarial","short",10000,1000,10,500000,20261008,"point",-0.3,0,NA,NA,NA,NA,NA,"usd=1;type=generic","z;point-design;matched-usd1;wrong-direction","Wrong-direction z design for directional analysis cases."
"z-dpoint-0-usd50-short","z","adversarial","short",10000,1000,10,500000,20261009,"point",0,0,NA,NA,NA,NA,NA,"usd=50;type=generic","z;point-design;extreme-noise;null","Extreme-noise point-null z design for numerical stress testing."
"z-dpoint-10-usd50-short","z","adversarial","short",10000,1000,10,500000,20261010,"point",10,0,NA,NA,NA,NA,NA,"usd=50;type=generic","z;point-design;extreme-noise;large-effect","Extreme-noise z design with a large fixed effect visible only with enough information."
"z-dnorm-10-s20-usd50-short","z","adversarial","short",10000,1000,10,500000,20261011,"normal",10,20,NA,NA,NA,NA,NA,"usd=50;type=generic","z;normal-design;extreme-noise;uncertain-design;diffuse-design","Extreme-noise z design with a very diffuse large-effect design prior."
"z-dpoint-0-usd1-long","z","long","long",10000,1000,10,10000000,20261012,"point",0,0,NA,NA,NA,NA,NA,"usd=1;type=generic","z;point-design;matched-usd1;null;many-looks","Long-grid point-null z design for many-look sequential behavior."
"z-dpoint-0p2-usd1-long","z","long","long",10000,1000,10,10000000,20261013,"point",0.2,0,NA,NA,NA,NA,NA,"usd=1;type=generic","z;point-design;matched-usd1;local-effect;many-looks","Long-grid local-effect z design for late stopping and sample-size checks."
"z-dnorm-0p2-s0p1-usd1-long","z","long","long",10000,1000,10,10000000,20261014,"normal",0.2,0.1,NA,NA,NA,NA,NA,"usd=1;type=generic","z;normal-design;matched-usd1;uncertain-design;many-looks","Long-grid local uncertain z design with small design-prior spread."
"z-dnorm-0p2-s0p5-usd1-long","z","long","long",10000,1000,10,10000000,20261015,"normal",0.2,0.5,NA,NA,NA,NA,NA,"usd=1;type=generic","z;normal-design;matched-usd1;uncertain-design;diffuse-design;many-looks","Long-grid diffuse local z design for many-look behavior under design uncertainty."
"t-two-dpoint-0-short","t","short","short",10000,1000,10,500000,20262001,"point",0,0,NA,NA,NA,NA,NA,"type=two.sample;n2_multiplier=1","t;two.sample;point-design;balanced;null","Balanced two-sample point-null t design."
"t-two-dpoint-0p5-short","t","short","short",10000,1000,10,500000,20262002,"point",0.5,0,NA,NA,NA,NA,NA,"type=two.sample;n2_multiplier=1","t;two.sample;point-design;balanced;moderate-effect","Balanced two-sample moderate-effect t design."
"t-two-dnorm-0p5-s0p1-short","t","short","short",10000,1000,10,500000,20262003,"normal",0.5,0.1,NA,NA,NA,NA,NA,"type=two.sample;n2_multiplier=1","t;two.sample;normal-design;balanced;uncertain-design;moderate-effect","Balanced two-sample uncertain t design with small design-prior spread."
"t-two-dnorm-0p5-s0p5-short","t","short","short",10000,1000,10,500000,20262004,"normal",0.5,0.5,NA,NA,NA,NA,NA,"type=two.sample;n2_multiplier=1","t;two.sample;normal-design;balanced;uncertain-design;diffuse-design","Balanced two-sample uncertain t design with larger design-prior spread."
"t-one-dpoint-0-short","t","short","short",10000,1000,10,500000,20262005,"point",0,0,NA,NA,NA,NA,NA,"type=one.sample;n2_multiplier=1","t;one.sample;point-design;one-sample;null","One-sample point-null t design matching the one-sample alternative geometry."
"t-one-dpoint-0p5-short","t","short","short",10000,1000,10,500000,20262006,"point",0.5,0,NA,NA,NA,NA,NA,"type=one.sample;n2_multiplier=1","t;one.sample;point-design;one-sample;moderate-effect","One-sample moderate-effect t design."
"t-paired-dpoint-0-short","t","short","short",10000,1000,10,500000,20262007,"point",0,0,NA,NA,NA,NA,NA,"type=paired;n2_multiplier=1","t;paired;point-design;null","Paired point-null t design matching the paired alternative geometry."
"t-paired-dpoint-0p5-short","t","short","short",10000,1000,10,500000,20262008,"point",0.5,0,NA,NA,NA,NA,NA,"type=paired;n2_multiplier=1","t;paired;point-design;moderate-effect","Paired moderate-effect t design."
"t-two-dpoint-m0p4-short","t","adversarial","short",10000,1000,10,500000,20262009,"point",-0.4,0,NA,NA,NA,NA,NA,"type=two.sample;n2_multiplier=1","t;two.sample;point-design;balanced;wrong-direction","Balanced two-sample wrong-direction t design for one-sided analysis cases."
"t-two-dpoint-0-n2x1p1-short","t","adversarial","short",10000,1000,10,500000,20262010,"point",0,0,NA,NA,NA,NA,NA,"type=two.sample;n2_multiplier=1.1","t;two.sample;point-design;unequal-groups;null","Unequal two-sample point-null t design matching the unequal alternative geometry."
"t-two-dpoint-0p35-n2x1p1-short","t","adversarial","short",10000,1000,10,500000,20262011,"point",0.35,0,NA,NA,NA,NA,NA,"type=two.sample;n2_multiplier=1.1","t;two.sample;point-design;unequal-groups;local-effect","Unequal two-sample positive-effect t design for checking n1/n2 handling."
"t-two-dnorm-0-s0p5-short","t","adversarial","short",10000,1000,10,500000,20262012,"normal",0,0.5,NA,NA,NA,NA,NA,"type=two.sample;n2_multiplier=1","t;two.sample;normal-design;balanced;mixed-signs;uncertain-design","Balanced two-sample mixed-sign t design prior centered on the null."
"t-two-dpoint-0-long","t","long","long",10000,1000,10,10000000,20262013,"point",0,0,NA,NA,NA,NA,NA,"type=two.sample;n2_multiplier=1","t;two.sample;point-design;balanced;null;many-looks","Long-grid balanced two-sample point-null t design."
"t-two-dpoint-0p2-long","t","long","long",10000,1000,10,10000000,20262014,"point",0.2,0,NA,NA,NA,NA,NA,"type=two.sample;n2_multiplier=1","t;two.sample;point-design;balanced;local-effect;many-looks","Long-grid balanced two-sample local-effect t design."
"t-two-dnorm-0p2-s0p1-long","t","long","long",10000,1000,10,10000000,20262015,"normal",0.2,0.1,NA,NA,NA,NA,NA,"type=two.sample;n2_multiplier=1","t;two.sample;normal-design;balanced;uncertain-design;many-looks","Long-grid balanced two-sample local uncertain t design with small spread."
"t-two-dnorm-0p2-s0p5-long","t","long","long",10000,1000,10,10000000,20262016,"normal",0.2,0.5,NA,NA,NA,NA,NA,"type=two.sample;n2_multiplier=1","t;two.sample;normal-design;balanced;uncertain-design;diffuse-design;many-looks","Long-grid balanced two-sample diffuse local t design."
