"phase","tier","family","design_case_id","analysis_case_id","chunk_id","replicate_start","replicate_end","seed"
"generate_design","short","z","z-dpoint-0-usd1-short",NA,1,1,1000,21261004
"generate_design","short","z","z-dpoint-0-usd1-short",NA,2,1001,2000,22261007
"generate_design","short","z","z-dpoint-0-usd1-short",NA,3,2001,3000,23261010
"generate_design","short","z","z-dpoint-0-usd1-short",NA,4,3001,4000,24261013
"generate_design","short","z","z-dpoint-0-usd1-short",NA,5,4001,5000,25261016
"generate_design","short","z","z-dpoint-0-usd1-short",NA,6,5001,6000,26261019
"generate_design","short","z","z-dpoint-0-usd1-short",NA,7,6001,7000,27261022
"generate_design","short","z","z-dpoint-0-usd1-short",NA,8,7001,8000,28261025
"generate_design","short","z","z-dpoint-0-usd1-short",NA,9,8001,9000,29261028
"generate_design","short","z","z-dpoint-0-usd1-short",NA,10,9001,10000,30261031
"generate_design","short","z","z-dpoint-0p2-usd1-short",NA,1,1,1000,21261005
"generate_design","short","z","z-dpoint-0p2-usd1-short",NA,2,1001,2000,22261008
"generate_design","short","z","z-dpoint-0p2-usd1-short",NA,3,2001,3000,23261011
"generate_design","short","z","z-dpoint-0p2-usd1-short",NA,4,3001,4000,24261014
"generate_design","short","z","z-dpoint-0p2-usd1-short",NA,5,4001,5000,25261017
"generate_design","short","z","z-dpoint-0p2-usd1-short",NA,6,5001,6000,26261020
"generate_design","short","z","z-dpoint-0p2-usd1-short",NA,7,6001,7000,27261023
"generate_design","short","z","z-dpoint-0p2-usd1-short",NA,8,7001,8000,28261026
"generate_design","short","z","z-dpoint-0p2-usd1-short",NA,9,8001,9000,29261029
"generate_design","short","z","z-dpoint-0p2-usd1-short",NA,10,9001,10000,30261032
"generate_design","short","z","z-dpoint-0p5-usd1-short",NA,1,1,1000,21261006
"generate_design","short","z","z-dpoint-0p5-usd1-short",NA,2,1001,2000,22261009
"generate_design","short","z","z-dpoint-0p5-usd1-short",NA,3,2001,3000,23261012
"generate_design","short","z","z-dpoint-0p5-usd1-short",NA,4,3001,4000,24261015
"generate_design","short","z","z-dpoint-0p5-usd1-short",NA,5,4001,5000,25261018
"generate_design","short","z","z-dpoint-0p5-usd1-short",NA,6,5001,6000,26261021
"generate_design","short","z","z-dpoint-0p5-usd1-short",NA,7,6001,7000,27261024
"generate_design","short","z","z-dpoint-0p5-usd1-short",NA,8,7001,8000,28261027
"generate_design","short","z","z-dpoint-0p5-usd1-short",NA,9,8001,9000,29261030
"generate_design","short","z","z-dpoint-0p5-usd1-short",NA,10,9001,10000,30261033
"generate_design","short","z","z-dnorm-0p5-s0p1-usd1-short",NA,1,1,1000,21261007
"generate_design","short","z","z-dnorm-0p5-s0p1-usd1-short",NA,2,1001,2000,22261010
"generate_design","short","z","z-dnorm-0p5-s0p1-usd1-short",NA,3,2001,3000,23261013
"generate_design","short","z","z-dnorm-0p5-s0p1-usd1-short",NA,4,3001,4000,24261016
"generate_design","short","z","z-dnorm-0p5-s0p1-usd1-short",NA,5,4001,5000,25261019
"generate_design","short","z","z-dnorm-0p5-s0p1-usd1-short",NA,6,5001,6000,26261022
"generate_design","short","z","z-dnorm-0p5-s0p1-usd1-short",NA,7,6001,7000,27261025
"generate_design","short","z","z-dnorm-0p5-s0p1-usd1-short",NA,8,7001,8000,28261028
"generate_design","short","z","z-dnorm-0p5-s0p1-usd1-short",NA,9,8001,9000,29261031
"generate_design","short","z","z-dnorm-0p5-s0p1-usd1-short",NA,10,9001,10000,30261034
"generate_design","short","z","z-dnorm-0p2-s0p3-usd1-short",NA,1,1,1000,21261008
"generate_design","short","z","z-dnorm-0p2-s0p3-usd1-short",NA,2,1001,2000,22261011
"generate_design","short","z","z-dnorm-0p2-s0p3-usd1-short",NA,3,2001,3000,23261014
"generate_design","short","z","z-dnorm-0p2-s0p3-usd1-short",NA,4,3001,4000,24261017
"generate_design","short","z","z-dnorm-0p2-s0p3-usd1-short",NA,5,4001,5000,25261020
"generate_design","short","z","z-dnorm-0p2-s0p3-usd1-short",NA,6,5001,6000,26261023
"generate_design","short","z","z-dnorm-0p2-s0p3-usd1-short",NA,7,6001,7000,27261026
"generate_design","short","z","z-dnorm-0p2-s0p3-usd1-short",NA,8,7001,8000,28261029
"generate_design","short","z","z-dnorm-0p2-s0p3-usd1-short",NA,9,8001,9000,29261032
"generate_design","short","z","z-dnorm-0p2-s0p3-usd1-short",NA,10,9001,10000,30261035
"generate_design","short","z","z-dnorm-0p2-s0p5-usd1-short",NA,1,1,1000,21261009
"generate_design","short","z","z-dnorm-0p2-s0p5-usd1-short",NA,2,1001,2000,22261012
"generate_design","short","z","z-dnorm-0p2-s0p5-usd1-short",NA,3,2001,3000,23261015
"generate_design","short","z","z-dnorm-0p2-s0p5-usd1-short",NA,4,3001,4000,24261018
"generate_design","short","z","z-dnorm-0p2-s0p5-usd1-short",NA,5,4001,5000,25261021
"generate_design","short","z","z-dnorm-0p2-s0p5-usd1-short",NA,6,5001,6000,26261024
"generate_design","short","z","z-dnorm-0p2-s0p5-usd1-short",NA,7,6001,7000,27261027
